E_fst,E_fst_elstat,E_fst_VdW,E_fst_SP,group_size,type_of_complex_in_group,E_snd_SP,avg_E_fst,avg_E_snd_SP,E_third,alt_E_third,E_third_SP,avg_E_third,avg_alt_E_third,avg_E_third_SP,is_real
3864.25,697.23,15820.97,-19.74,32,border,0,3914.18,-28.52,-2180.34,0,0,-2100.97,0,-14.54,No
4058.18,1291.92,13627.98,-284.62,18,centroid,-155.78,4031.04,-251.56,-2108.02,-3.27,-152.02,0,0,-156.36,No
3797.29,794.05,14783.58,-325.71,17,centroid,-317.76,4129.13,-315.15,-2020.76,-4.6,-242.96,0,0,-247.7,No
3709.02,843.11,14236.02,-131.0,17,border,-100.5,3975.8,-166.65,-1997.4,0,-98.1,-1732.73,0,-144.61,No
3853.45,1643.86,10675.97,-520.75,17,middle,-422.78,3916.64,-377.83,-1677.98,-28.93,-359.91,-1677.98,-28.93,-359.91,No
3889.14,1045.56,14126.64,-127.78,46,centroid,-134.26,4392.79,-90.26,0,0,-135.02,0,0,-135.02,Yes
4709.24,1775.48,14350.84,-445.18,16,middle,-311.44,4340.13,-383.04,0,0,-311.64,0,0,-311.64,No
5046.67,2434.25,12378.98,-956.36,15,middle,-635.61,4945.97,-583.9,-4942.93,-184.79,-602.91,-4674.34,-159.87,-576.74,No
4898.66,2413.05,11915.07,-718.19,14,centroid,-462.66,4921.43,-572.15,-4925.27,-84.27,-388.33,-4655.82,-74.45,-437.33,No
5062.84,2394.93,13037.28,-423.24,15,middle,-312.89,4996.3,-376.02,-4882.94,0,-344.54,-4358.45,0,-369.08,No
5304.51,2296.58,14577.17,-647.4,21,centroid,-418.59,5096.13,-429.21,-4860.83,-119.4,-370.54,-4342.8,-44.03,-408.11,Yes
4780.88,2872.34,8774.52,-1075.42,20,centroid,-714.01,5035.67,-716.21,-4854.32,-76.28,-533.92,-4050.01,-75.42,-637.11,No
5014.1,3319.75,8009.89,-646.56,15,border,-472.46,5075.42,-323.33,-4806.57,-105.28,-400.37,-4190.7,-72.32,-298.25,Yes
5542.15,2378.75,15424.28,-549.83,50,centroid,-370.98,5236.01,-370.45,-4798.05,-113.45,-299.48,0,0,-336.35,Yes
